Category: All categories
"huawei: (5/10/17 - 5/10/18, Zambia)"

TOP
huawei p8,100
huawei p9,81
huawei p10,75
huawei p8 lite,62
huawei p9 lite,56
huawei y520,44
huawei mate 10,44
huawei y360,37
huawei gr5,37
huawei y6,31
huawei wingle,31
huawei gr3,25
huawei p smart,12
huawei y6 pro,12

RISING
huawei p10,Breakout
huawei mate 10,Breakout
huawei wingle,Breakout
huawei p smart,Breakout
huawei gr5,+80%
huawei p9 lite,+50%

